PRODUCT_ID,PRODUCT_METADATA
4964,RTD Tea
5476,Nuts + Fruits
6331,Chips + Crisps
5339,Soup + Broth
6341,Hemp Ingestibles
3463,Nuts + Fruits
4688,Soup + Broth
6348,Oatmeal + cereals
6580,Supplements
5366,Performance Nutrition
4715,"Pasta, Noodles + Sauces"
3755,Supplements
4729,Honey
6366,Charcuterie
6602,Supplements
4377,"Sauces, Salsas + Dips"
5026,Functional Foods
5403,Waters
5400,Snack Bites
6070,Hot sauce
6090,Sweeteners + Syrup
4904,Waters
3079,Meat + Seafood
5521,Hemp Edibles
5948,Personal Care
4975,"Pasta, Noodles + Sauces"
6346,Supplements
4271,Performance Nutrition
4984,Functional
3320,Baking
5199,Baking
5061,Prepared Foods
5232,Supplements
3363,Supplements
2052,Mixers
3740,Plant Based Protein
2627,Cheese + Plant Based Cheese
3997,Spice + Seasoning
4439,Snack Bars
5177,Oil + Vinegar
4381,Herbs + Botanicals
5392,Hemp Topicals + Tinctures
4767,Snack Bites
1239,Nuts + Fruits
6628,Spice + Seasoning
6252,Nuts + Fruits
6670,Zero-Proof NA
6692,Mixers
4094,Functional
456,Soup + Broth
419,Jerky
3144,Plant Based
703,Condiments
264,Cookies
761,Juice
834,Juice
3283,Snack Bars
1129,Fresh Bread
1984,Fresh Bread
2954,Kitchenware
4645,Honey
4389,Functional Foods
5942,Skin Care
5973,Bath + Body Care
5987,Cleaning 
4655,Zero-Proof NA
6012,Cleaning 
6022,Cleaning 
6023,Cleaning 
6033,Tea
5491,Condiments
6056,Spice + Seasoning
4858,Spice + Seasoning
6068,Oil + Vinegar
6066,Oil + Vinegar
3773,Appetizers + Snacks
6071,"Sauces, Salsas + Dips"
3123,"Pasta, Noodles + Sauces"
4563,Gut Health
6084,Nut + Seed Butter
6086,Fruit Spreads + Preserves
5308,Crackers
6101,Chips + Crisps
5429,Oatmeal + cereals
3270,Desserts
6114,Mixers
3028,Skin Care
6127,Baking
6123,Spice + Seasoning
3951,Dessert
5423,Functional
4913,Condiments
6144,Pets
5584,Coffee
6300,Sodas
4843,Meat + Seafood
1305,Plant Based
4243,Hemp
6534,Tea
756,Baked Goods
5104,"Pasta, Noodles + Sauces"
5436,Nut + Seed Butter
6542,Nuts + Fruits
6073,Spice + Seasoning
1960,Sweeteners + Syrup
