product,week_start,sales
2441,2022-01-10,3
2447,2022-01-10,2
2448,2022-01-10,1
2450,2022-01-10,2
2492,2022-01-10,0
2500,2022-01-10,1
2514,2022-01-10,27
2529,2022-01-10,0
2536,2022-01-10,2
2537,2022-01-10,1
2551,2022-01-10,9
2552,2022-01-10,461
2554,2022-01-10,0
2555,2022-01-10,12
2562,2022-01-10,2
2571,2022-01-10,0
2576,2022-01-10,8
2577,2022-01-10,0
2583,2022-01-10,1
2587,2022-01-10,45
2589,2022-01-10,0
2592,2022-01-10,1
2593,2022-01-10,0
2596,2022-01-10,6
2607,2022-01-10,5
2609,2022-01-10,2
2610,2022-01-10,0
2614,2022-01-10,0
2615,2022-01-10,24
2616,2022-01-10,0
2619,2022-01-10,10
2623,2022-01-10,0
2628,2022-01-10,0
2639,2022-01-10,9
2641,2022-01-10,0
2644,2022-01-10,0
2645,2022-01-10,7
2648,2022-01-10,0
2656,2022-01-10,4
2659,2022-01-10,0
2667,2022-01-10,11
2670,2022-01-10,0
2679,2022-01-10,0
2680,2022-01-10,13
2684,2022-01-10,0
2699,2022-01-10,9
2715,2022-01-10,8
2718,2022-01-10,1
2722,2022-01-10,7
2727,2022-01-10,0
2733,2022-01-10,0
2734,2022-01-10,0
2735,2022-01-10,0
2739,2022-01-10,8
2740,2022-01-10,0
2748,2022-01-10,0
2751,2022-01-10,0
2753,2022-01-10,0
2756,2022-01-10,0
2757,2022-01-10,0
2763,2022-01-10,12
2782,2022-01-10,0
2784,2022-01-10,0
2785,2022-01-10,0
2788,2022-01-10,0
2795,2022-01-10,0
2796,2022-01-10,0
2800,2022-01-10,0
2814,2022-01-10,0
2819,2022-01-10,0
2821,2022-01-10,0
2829,2022-01-10,11
2830,2022-01-10,0
2832,2022-01-10,0
2833,2022-01-10,2
2834,2022-01-10,4
2835,2022-01-10,0
2836,2022-01-10,1
2837,2022-01-10,1
2842,2022-01-10,1
2849,2022-01-10,3
2903,2022-01-10,3
2906,2022-01-10,5
2907,2022-01-10,1
2911,2022-01-10,0
2912,2022-01-10,0
2914,2022-01-10,0
2915,2022-01-10,23
2916,2022-01-10,0
2917,2022-01-10,0
2918,2022-01-10,1
2923,2022-01-10,0
2931,2022-01-10,0
2970,2022-01-10,1
2975,2022-01-10,0
2978,2022-01-10,4
2995,2022-01-10,0
2999,2022-01-10,0
3001,2022-01-10,2
3005,2022-01-10,0
3013,2022-01-10,33
3034,2022-01-10,25
3035,2022-01-10,9
3037,2022-01-10,14
3042,2022-01-10,6
3044,2022-01-10,53
3046,2022-01-10,28
3047,2022-01-10,1
3054,2022-01-10,0
3055,2022-01-10,0
3056,2022-01-10,0
3057,2022-01-10,0
3058,2022-01-10,1
3059,2022-01-10,0
3060,2022-01-10,0
3062,2022-01-10,0
3064,2022-01-10,1
3065,2022-01-10,1
3068,2022-01-10,0
3069,2022-01-10,0
3070,2022-01-10,0
3071,2022-01-10,0
3075,2022-01-10,0
3076,2022-01-10,0
3080,2022-01-10,3
3083,2022-01-10,3
3094,2022-01-10,3
3098,2022-01-10,12
3105,2022-01-10,3
3111,2022-01-10,0
3112,2022-01-10,0
3114,2022-01-10,2
3116,2022-01-10,0
3117,2022-01-10,0
3119,2022-01-10,191
3122,2022-01-10,0
3124,2022-01-10,0
3141,2022-01-10,2
3142,2022-01-10,0
3147,2022-01-10,0
3149,2022-01-10,0
3152,2022-01-10,0
3153,2022-01-10,0
3155,2022-01-10,256
3156,2022-01-10,0
3157,2022-01-10,14
