product,week_start,sales,last-1_week_sales,last-1_week_diff,last-2_week_sales,last-2_week_diff
3708,2022-03-14,4,7.0,5.0,2.0,-3.0
3714,2022-03-14,3,13.0,5.0,8.0,7.0
3715,2022-03-14,0,0.0,0.0,0.0,0.0
3717,2022-03-14,0,0.0,0.0,0.0,0.0
3718,2022-03-14,0,1.0,1.0,0.0,0.0
3720,2022-03-14,3,7.0,4.0,3.0,1.0
3721,2022-03-14,0,0.0,0.0,0.0,0.0
3726,2022-03-14,0,0.0,0.0,0.0,0.0
3731,2022-03-14,0,0.0,0.0,0.0,0.0
3738,2022-03-14,0,0.0,0.0,0.0,0.0
3740,2022-03-14,1,1.0,-4.0,5.0,3.0
3748,2022-03-14,0,0.0,0.0,0.0,0.0
3760,2022-03-14,0,2.0,2.0,0.0,-3.0
3762,2022-03-14,0,0.0,0.0,0.0,0.0
3763,2022-03-14,0,0.0,0.0,0.0,0.0
3765,2022-03-14,0,0.0,0.0,0.0,0.0
3767,2022-03-14,4,6.0,-5.0,11.0,7.0
3776,2022-03-14,0,0.0,-3.0,3.0,3.0
3785,2022-03-14,37,17.0,-12.0,29.0,25.0
3793,2022-03-14,0,0.0,0.0,0.0,0.0
3794,2022-03-14,1,2.0,-1.0,3.0,1.0
3796,2022-03-14,0,0.0,-3.0,3.0,3.0
3797,2022-03-14,7,11.0,-4.0,15.0,11.0
3798,2022-03-14,1,1.0,-2.0,3.0,3.0
3799,2022-03-14,0,0.0,0.0,0.0,0.0
3800,2022-03-14,0,0.0,0.0,0.0,0.0
3801,2022-03-14,0,0.0,0.0,0.0,0.0
3802,2022-03-14,0,0.0,0.0,0.0,0.0
3804,2022-03-14,0,4.0,-7.0,11.0,11.0
3808,2022-03-14,2,0.0,-12.0,12.0,12.0
3810,2022-03-14,3,2.0,-4.0,6.0,4.0
3814,2022-03-14,0,0.0,0.0,0.0,0.0
3819,2022-03-14,5,6.0,-2.0,8.0,8.0
3820,2022-03-14,29,44.0,24.0,20.0,11.0
3824,2022-03-14,6,4.0,2.0,2.0,-6.0
3825,2022-03-14,18,39.0,-19.0,58.0,14.0
3826,2022-03-14,1,2.0,2.0,0.0,0.0
3829,2022-03-14,2,0.0,-1.0,1.0,1.0
3831,2022-03-14,2,0.0,-1.0,1.0,-1.0
3834,2022-03-14,0,1.0,1.0,0.0,-1.0
3835,2022-03-14,5,2.0,-2.0,4.0,1.0
3836,2022-03-14,0,2.0,2.0,0.0,0.0
3837,2022-03-14,0,2.0,2.0,0.0,0.0
3838,2022-03-14,52,34.0,21.0,13.0,-32.0
3840,2022-03-14,0,2.0,2.0,0.0,0.0
3844,2022-03-14,0,0.0,0.0,0.0,0.0
3845,2022-03-14,0,0.0,0.0,0.0,0.0
3849,2022-03-14,0,1.0,1.0,0.0,0.0
3853,2022-03-14,0,0.0,0.0,0.0,0.0
3857,2022-03-14,0,0.0,0.0,0.0,0.0
3863,2022-03-14,0,0.0,0.0,0.0,-1.0
3864,2022-03-14,0,0.0,0.0,0.0,0.0
3866,2022-03-14,104,68.0,8.0,60.0,-22.0
3875,2022-03-14,0,1.0,1.0,0.0,0.0
3876,2022-03-14,0,0.0,0.0,0.0,-5.0
3880,2022-03-14,0,0.0,0.0,0.0,0.0
3883,2022-03-14,0,0.0,0.0,0.0,-2.0
3884,2022-03-14,1,0.0,0.0,0.0,0.0
3885,2022-03-14,12,9.0,-7.0,16.0,8.0
3888,2022-03-14,0,0.0,0.0,0.0,-2.0
3890,2022-03-14,0,0.0,0.0,0.0,-1.0
3891,2022-03-14,0,1.0,1.0,0.0,0.0
3895,2022-03-14,10,6.0,2.0,4.0,-12.0
3901,2022-03-14,0,1.0,1.0,0.0,0.0
3902,2022-03-14,0,1.0,1.0,0.0,-2.0
3903,2022-03-14,0,0.0,0.0,0.0,0.0
3904,2022-03-14,7,5.0,5.0,0.0,-6.0
3906,2022-03-14,0,0.0,0.0,0.0,-3.0
3907,2022-03-14,0,0.0,0.0,0.0,0.0
3922,2022-03-14,10,4.0,-2.0,6.0,-11.0
3924,2022-03-14,51,31.0,10.0,21.0,-16.0
3925,2022-03-14,4,2.0,-2.0,4.0,-1.0
3927,2022-03-14,55,28.0,14.0,14.0,-25.0
3929,2022-03-14,104,54.0,36.0,18.0,-88.0
3930,2022-03-14,9,74.0,21.0,53.0,40.0
3931,2022-03-14,0,2.0,1.0,1.0,1.0
3932,2022-03-14,0,0.0,0.0,0.0,0.0
3933,2022-03-14,0,0.0,-1.0,1.0,1.0
3946,2022-03-14,0,3.0,3.0,0.0,0.0
3953,2022-03-14,10,5.0,-2.0,7.0,4.0
3954,2022-03-14,1,0.0,0.0,0.0,0.0
3956,2022-03-14,66,33.0,0.0,33.0,-17.0
3960,2022-03-14,0,0.0,-1.0,1.0,1.0
3961,2022-03-14,0,0.0,-1.0,1.0,1.0
3962,2022-03-14,0,0.0,0.0,0.0,0.0
3964,2022-03-14,0,3.0,3.0,0.0,0.0
3966,2022-03-14,11,3.0,-9.0,12.0,10.0
3967,2022-03-14,13,7.0,-8.0,15.0,1.0
3968,2022-03-14,66,21.0,-51.0,72.0,-1.0
3969,2022-03-14,7,1.0,-6.0,7.0,1.0
3970,2022-03-14,25,6.0,-17.0,23.0,9.0
3971,2022-03-14,4,2.0,-1.0,3.0,1.0
3972,2022-03-14,5,3.0,-6.0,9.0,1.0
3973,2022-03-14,20,11.0,4.0,7.0,2.0
3974,2022-03-14,0,0.0,0.0,0.0,0.0
3979,2022-03-14,12,2.0,-6.0,8.0,2.0
3987,2022-03-14,0,0.0,0.0,0.0,0.0
3988,2022-03-14,1,0.0,-2.0,2.0,-11.0
3989,2022-03-14,0,6.0,6.0,0.0,0.0
3995,2022-03-14,0,3.0,-23.0,26.0,26.0
4017,2022-03-14,0,0.0,0.0,0.0,0.0
4029,2022-03-14,0,0.0,-2.0,2.0,2.0
4035,2022-03-14,0,0.0,-1.0,1.0,1.0
4048,2022-03-14,11,9.0,7.0,2.0,-16.0
4053,2022-03-14,4,2.0,0.0,2.0,1.0
4057,2022-03-14,3,2.0,1.0,1.0,1.0
